"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 12월 25일","193.127","190.493","195.052","189.224","1.78M","1.49%"
"2021년 12월 24일","190.285","190.075","197.422","184.463","2.80M","0.13%"
"2021년 12월 23일","190.047","178.411","193.442","175.770","2.93M","6.53%"
"2021년 12월 22일","178.406","179.736","187.539","177.145","2.80M","-0.75%"
"2021년 12월 21일","179.745","173.862","182.392","170.286","2.40M","3.43%"
"2021년 12월 20일","173.785","179.956","181.085","168.500","2.63M","-3.52%"
"2021년 12월 19일","180.125","182.822","189.160","178.573","1.93M","-1.50%"
"2021년 12월 18일","182.861","175.562","184.272","171.065","1.98M","4.14%"
"2021년 12월 17일","175.586","176.926","182.357","168.149","3.77M","-0.75%"
"2021년 12월 16일","176.904","178.522","189.008","174.478","3.94M","-0.90%"
"2021년 12월 15일","178.506","161.303","182.590","157.183","5.55M","10.67%"
"2021년 12월 14일","161.299","155.259","162.906","149.821","3.91M","3.93%"
"2021년 12월 13일","155.203","172.906","172.951","148.384","4.69M","-10.25%"
"2021년 12월 12일","172.924","172.204","176.854","167.728","1.77M","0.70%"
"2021년 12월 11일","171.728","167.475","173.801","161.587","2.80M","2.47%"
"2021년 12월 10일","167.596","181.267","184.440","167.446","3.20M","-7.59%"
"2021년 12월 09일","181.363","194.624","196.636","178.746","3.01M","-6.80%"
"2021년 12월 08일","194.596","190.226","196.235","184.001","3.38M","2.29%"
"2021년 12월 07일","190.236","193.874","204.025","187.958","3.68M","-1.92%"
"2021년 12월 06일","193.963","196.475","197.646","176.649","4.88M","-1.26%"
"2021년 12월 05일","196.444","201.093","204.309","182.027","4.19M","-2.31%"
"2021년 12월 04일","201.088","211.854","212.584","175.186","6.98M","-5.17%"
"2021년 12월 03일","212.047","233.765","239.426","205.628","4.84M","-9.30%"
"2021년 12월 02일","233.785","229.862","243.069","220.150","4.76M","1.72%"
"2021년 12월 01일","229.829","208.486","232.452","207.999","4.50M","10.27%"
"2021년 11월 30일","208.423","204.139","218.252","199.780","3.65M","2.10%"
"2021년 11월 29일","204.135","200.850","212.787","199.789","2.82M","1.63%"
"2021년 11월 28일","200.854","192.976","201.979","181.285","2.67M","4.04%"
"2021년 11월 27일","193.061","192.184","199.403","190.811","1.93M","0.56%"
"2021년 11월 26일","191.991","210.017","210.417","183.084","4.57M","-8.55%"
"2021년 11월 25일","209.952","205.854","216.366","202.028","2.90M","1.98%"
"2021년 11월 24일","205.877","221.837","222.244","200.225","3.12M","-7.21%"
"2021년 11월 23일","221.885","215.839","226.021","211.232","2.65M","2.79%"
"2021년 11월 22일","215.854","231.410","231.983","211.950","3.97M","-6.72%"
"2021년 11월 21일","231.414","217.824","235.389","210.695","3.15M","6.23%"
"2021년 11월 20일","217.833","215.282","221.152","206.068","2.47M","1.19%"
"2021년 11월 19일","215.274","195.145","219.691","189.571","4.45M","10.30%"
"2021년 11월 18일","195.164","218.932","222.755","187.176","5.62M","-10.85%"
"2021년 11월 17일","218.918","219.048","221.947","210.105","3.63M","-0.07%"
"2021년 11월 16일","219.062","238.213","238.213","214.824","4.30M","-8.03%"
"2021년 11월 15일","238.187","238.679","246.211","234.454","3.03M","-0.20%"
"2021년 11월 14일","238.667","241.659","241.925","230.506","1.96M","-1.25%"
"2021년 11월 13일","241.684","228.551","241.939","225.006","2.43M","5.75%"
"2021년 11월 12일","228.551","233.498","238.996","220.997","3.36M","-2.15%"
"2021년 11월 11일","233.576","233.635","246.427","229.543","3.19M","-0.05%"
"2021년 11월 10일","233.686","239.041","247.956","217.998","4.79M","-2.23%"
"2021년 11월 09일","239.027","248.376","253.164","237.809","3.52M","-3.78%"
"2021년 11월 08일","248.419","249.673","253.269","240.742","3.75M","-0.49%"
"2021년 11월 07일","249.644","258.480","258.581","245.752","2.96M","-3.42%"
"2021년 11월 06일","258.477","236.119","259.861","234.879","4.44M","9.46%"
"2021년 11월 05일","236.147","247.150","248.256","230.598","3.43M","-4.45%"
"2021년 11월 04일","247.144","243.113","250.208","234.909","5.46M","1.59%"
"2021년 11월 03일","243.272","220.764","246.379","216.067","7.93M","10.24%"
"2021년 11월 02일","220.678","203.471","222.222","201.147","4.46M","8.47%"
"2021년 11월 01일","203.454","202.565","211.495","198.093","4.78M","0.44%"
"2021년 10월 31일","202.573","195.806","204.991","185.688","3.64M","3.45%"
